source_id,source_oficio_key,relacao,target_oficio_key,target_oficio,target_item,target_perguntas,target_no_base,raw
cvm175-seq-0249,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0249,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0250,OC-1-2025-SIN-SNC-SSE,referencia,,,,"15, 26 e 16",False,"Perguntas 15, 26 e 16 do Ofício Circular CVM/SIN/SSE 01/23"
cvm175-seq-0251,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0251,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0254,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0254,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0255,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"28 a 31, 34",,True,"Itens 28 a 31, 34 Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0256,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"28 a 31, 34",,True,"Itens 28 a 31, 34 Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0257,OC-1-2025-SIN-SNC-SSE,referencia,,,,,False,Ofício Circular CVM/SIN/SSE
cvm175-seq-0257,OC-1-2025-SIN-SNC-SSE,referencia,,,,,False,01/23
cvm175-seq-0259,OC-1-2025-SIN-SNC-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"28 a 31, 34",,True,"Itens 28 a 31, 34 Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0263,OC-1-2025-SIN-SNC-SSE,referencia,,,,,False,"Sim, Ofício Circular CVM/SIN/SSE 01/23, perguntas 61"
cvm175-seq-0266,OC-3-2025-CVM-SSE,referencia,OC-1-2025-CVM-SSE,Ofício-Circular nº1/2025/CVM/SSE,,,True,"Item I, Ofício-Circular nº1/2025/CVM/SSE"
